[30Jun2025 00:01:36.555] [Server thread/INFO] [net.minecraft.world.entity.LivingEntity/]: Named entity Zombie['Gearling'/16837, l='ServerLevel[world]', x=-516.85, y=39.00, z=81.75] died: Gearling was killed by magic whilst trying to escape ThebrosXD
[30Jun2025 00:01:36.558] [Server thread/INFO] [net.minecraft.world.entity.LivingEntity/]: Named entity Zombie['Gearling'/16838, l='ServerLevel[world]', x=-516.85, y=39.00, z=82.85] died: Gearling was killed by magic whilst trying to escape ThebrosXD
[30Jun2025 00:01:36.560] [Server thread/INFO] [net.minecraft.world.entity.LivingEntity/]: Named entity Zombie['Gearling'/16845, l='ServerLevel[world]', x=-516.15, y=39.00, z=82.85] died: Gearling was killed by magic whilst trying to escape ThebrosXD
[30Jun2025 00:01:36.561] [Server thread/INFO] [net.minecraft.world.entity.LivingEntity/]: Named entity Zombie['Gearling'/16846, l='ServerLevel[world]', x=-516.85, y=39.00, z=80.78] died: Gearling was killed by magic whilst trying to escape ThebrosXD
[30Jun2025 00:01:36.565] [Server thread/INFO] [net.minecraft.world.entity.LivingEntity/]: Named entity Zombie['Gearling'/16860, l='ServerLevel[world]', x=-516.85, y=39.00, z=82.85] died: Gearling was killed by magic whilst trying to escape ThebrosXD
[30Jun2025 00:01:37.609] [Server thread/INFO] [net.minecraft.world.entity.LivingEntity/]: Named entity Zombie['Gearling'/16839, l='ServerLevel[world]', x=-516.15, y=39.25, z=80.15] died: Gearling was shot by Skeleton
[30Jun2025 00:01:38.870] [Server thread/INFO] [net.minecraft.world.entity.LivingEntity/]: Named entity Zombie['Gearling'/16851, l='ServerLevel[world]', x=-516.85, y=39.00, z=82.85] died: 1$s has perished from holy damage
[30Jun2025 00:01:38.873] [Server thread/INFO] [net.minecraft.world.entity.LivingEntity/]: Named entity Zombie['Gearling'/16854, l='ServerLevel[world]', x=-516.15, y=39.00, z=80.15] died: 1$s has perished from holy damage
[30Jun2025 00:01:38.907] [Server thread/INFO] [net.minecraft.world.entity.LivingEntity/]: Named entity Zombie['Gearling'/16841, l='ServerLevel[world]', x=-516.15, y=39.00, z=80.15] died: Gearling was killed by magic whilst trying to escape ThebrosXD
[30Jun2025 00:01:38.908] [Server thread/INFO] [net.minecraft.world.entity.LivingEntity/]: Named entity Zombie['Gearling'/16842, l='ServerLevel[world]', x=-516.15, y=39.00, z=80.92] died: Gearling was killed by magic whilst trying to escape ThebrosXD
[30Jun2025 00:01:40.364] [Server thread/INFO] [net.minecraft.world.entity.LivingEntity/]: Named entity Drowned['Gearling'/15561, l='ServerLevel[world]', x=-516.15, y=39.18, z=80.83] died: 1$s has perished from holy damage
[30Jun2025 00:01:41.159] [Server thread/INFO] [net.minecraft.world.entity.LivingEntity/]: Named entity Zombie['Gearling'/16857, l='ServerLevel[world]', x=-516.15, y=39.00, z=80.82] died: Gearling was killed by magic whilst trying to escape ThebrosXD
[30Jun2025 00:01:41.904] [Server thread/INFO] [net.minecraft.world.entity.LivingEntity/]: Named entity Drowned['Gearling'/15583, l='ServerLevel[world]', x=-516.85, y=39.11, z=80.15] died: Gearling was killed by magic whilst trying to escape ThebrosXD
[30Jun2025 00:01:47.904] [Server thread/INFO] [net.minecraft.world.entity.LivingEntity/]: Named entity Zombie['Gearling'/16850, l='ServerLevel[world]', x=-516.15, y=39.00, z=80.15] died: Gearling was struck by lightning whilst fighting ThebrosXD
[30Jun2025 00:01:51.569] [Server thread/INFO] [net.minecraft.world.entity.LivingEntity/]: Named entity Zombie['Gearling'/16849, l='ServerLevel[world]', x=-516.43, y=40.97, z=82.57] died: Gearling was struck by lightning
